neighborhood,date,temperature,humidity,ID,ndvi,population_density,temp_norm,hum_norm,ndvi_norm,pop_norm,risk_score
SuryaNagar,2026-05-11,33.7,93,SuryaNagar,0.4479714285714286,83.37804,0.9335180055401663,0.9587628865979382,0.6052032269270854,0.588280856596009,0.761775305469439
SuryaNagar,2026-05-12,34.5,94,SuryaNagar,0.4479714285714286,83.37804,0.9556786703601108,0.9690721649484536,0.6052032269270854,0.588280856596009,0.7727014270675198
SuryaNagar,2026-05-13,34.4,93,SuryaNagar,0.4479714285714286,83.37804,0.9529085872576176,0.9587628865979382,0.6052032269270854,0.588280856596009,0.7695315381564194
SuryaNagar,2026-05-14,35.2,94,SuryaNagar,0.4479714285714286,83.37804,0.9750692520775623,0.9690721649484536,0.6052032269270854,0.588280856596009,0.7804576597545004
SuryaNagar,2026-05-15,35.9,92,SuryaNagar,0.4479714285714286,83.37804,0.9944598337950138,0.9484536082474226,0.6052032269270854,0.588280856596009,0.7840901811012748
SuryaNagar,2026-05-16,35.5,95,SuryaNagar,0.4479714285714286,83.37804,0.9833795013850415,0.979381443298969,0.6052032269270854,0.588280856596009,0.7858436151475952
BhoiNagar,2026-05-10,32.7,96,BhoiNagar,0.5681428571428572,60.041943,0.9058171745152355,0.9896907216494846,0.7675531709576563,0.4236310383372978,0.6914805876119193
BhoiNagar,2026-05-11,33.7,93,BhoiNagar,0.5681428571428572,60.041943,0.9335180055401663,0.9587628865979382,0.7675531709576563,0.4236310383372978,0.6963753530115825
BhoiNagar,2026-05-12,34.5,94,BhoiNagar,0.5681428571428572,60.041943,0.9556786703601108,0.9690721649484536,0.7675531709576563,0.4236310383372978,0.7073014746096633
BhoiNagar,2026-05-13,34.4,93,BhoiNagar,0.5681428571428572,60.041943,0.9529085872576176,0.9587628865979382,0.7675531709576563,0.4236310383372978,0.7041315856985629
BhoiNagar,2026-05-14,35.2,94,BhoiNagar,0.5681428571428572,60.041943,0.9750692520775623,0.9690721649484536,0.7675531709576563,0.4236310383372978,0.715057707296644
BhoiNagar,2026-05-15,35.9,92,BhoiNagar,0.5681428571428572,60.041943,0.9944598337950138,0.9484536082474226,0.7675531709576563,0.4236310383372978,0.7186902286434184
BhoiNagar,2026-05-16,35.5,95,BhoiNagar,0.5681428571428572,60.041943,0.9833795013850415,0.979381443298969,0.7675531709576563,0.4236310383372978,0.7204436626897387
AcharyaVihar,2026-05-10,32.7,96,AcharyaVihar,0.4615857142857143,49.626804,0.9058171745152355,0.9896907216494846,0.623595939321419,0.35014613880636014,0.7055750540329794
AcharyaVihar,2026-05-11,33.7,93,AcharyaVihar,0.4615857142857143,49.626804,0.9335180055401663,0.9587628865979382,0.623595939321419,0.35014613880636014,0.7104698194326425
AcharyaVihar,2026-05-12,34.5,94,AcharyaVihar,0.4615857142857143,49.626804,0.9556786703601108,0.9690721649484536,0.623595939321419,0.35014613880636014,0.7213959410307234
AcharyaVihar,2026-05-13,34.4,93,AcharyaVihar,0.4615857142857143,49.626804,0.9529085872576176,0.9587628865979382,0.623595939321419,0.35014613880636014,0.718226052119623
AcharyaVihar,2026-05-14,35.2,94,AcharyaVihar,0.4615857142857143,49.626804,0.9750692520775623,0.9690721649484536,0.623595939321419,0.35014613880636014,0.729152173717704
AcharyaVihar,2026-05-15,35.9,92,AcharyaVihar,0.4615857142857143,49.626804,0.9944598337950138,0.9484536082474226,0.623595939321419,0.35014613880636014,0.7327846950644784
AcharyaVihar,2026-05-16,35.5,95,AcharyaVihar,0.4615857142857143,49.626804,0.9833795013850415,0.979381443298969,0.623595939321419,0.35014613880636014,0.7345381291107987
MasterCanteen,2026-05-10,32.7,96,MasterCanteen,0.5395142857142857,141.73169,0.9058171745152355,0.9896907216494846,0.7288763654610724,1.0,0.8144897410437766
MasterCanteen,2026-05-11,33.7,93,MasterCanteen,0.5395142857142857,141.73169,0.9335180055401663,0.9587628865979382,0.7288763654610724,1.0,0.8193845064434397
MasterCanteen,2026-05-12,34.5,94,MasterCanteen,0.5395142857142857,141.73169,0.9556786703601108,0.9690721649484536,0.7288763654610724,1.0,0.8303106280415207
MasterCanteen,2026-05-13,34.4,93,MasterCanteen,0.5395142857142857,141.73169,0.9529085872576176,0.9587628865979382,0.7288763654610724,1.0,0.8271407391304202
MasterCanteen,2026-05-14,35.2,94,MasterCanteen,0.5395142857142857,141.73169,0.9750692520775623,0.9690721649484536,0.7288763654610724,1.0,0.8380668607285013
MasterCanteen,2026-05-15,35.9,92,MasterCanteen,0.5395142857142857,141.73169,0.9944598337950138,0.9484536082474226,0.7288763654610724,1.0,0.8416993820752756
MasterCanteen,2026-05-16,35.5,95,MasterCanteen,0.5395142857142857,141.73169,0.9833795013850415,0.979381443298969,0.7288763654610724,1.0,0.843452816121596
Kalinganagar,2026-05-10,32.7,96,Kalinganagar,0.3667571428571428,100.63189,0.9058171745152355,0.9896907216494846,0.4954838460647701,0.7100168635539449,0.803171617633826
Kalinganagar,2026-05-11,33.7,93,Kalinganagar,0.3667571428571428,100.63189,0.9335180055401663,0.9587628865979382,0.4954838460647701,0.7100168635539449,0.8080663830334892
Kalinganagar,2026-05-12,34.5,94,Kalinganagar,0.3667571428571428,100.63189,0.9556786703601108,0.9690721649484536,0.4954838460647701,0.7100168635539449,0.81899250463157
Kalinganagar,2026-05-13,34.4,93,Kalinganagar,0.3667571428571428,100.63189,0.9529085872576176,0.9587628865979382,0.4954838460647701,0.7100168635539449,0.8158226157204697
Kalinganagar,2026-05-14,35.2,94,Kalinganagar,0.3667571428571428,100.63189,0.9750692520775623,0.9690721649484536,0.4954838460647701,0.7100168635539449,0.8267487373185507
Kalinganagar,2026-05-15,35.9,92,Kalinganagar,0.3667571428571428,100.63189,0.9944598337950138,0.9484536082474226,0.4954838460647701,0.7100168635539449,0.8303812586653251
Kalinganagar,2026-05-16,35.5,95,Kalinganagar,0.3667571428571428,100.63189,0.9833795013850415,0.979381443298969,0.4954838460647701,0.7100168635539449,0.8321346927116454
